追番人数,番剧名,番剧链接,更新状态
145.3万追番,猫和老鼠 旧版,https://www.bilibili.com/bangumi/play/ss357/,全55话
37.1万追番,咱们裸熊 第一季（中配）,https://www.bilibili.com/bangumi/play/ss25499/,全26话
23.9万追番,小马宝莉 第一季,https://www.bilibili.com/bangumi/play/ss2668/,全26话
16万追番,脆莓公园 第一季,https://www.bilibili.com/bangumi/play/ss1106/,全10话
12.1万追番,复仇者：世上最强英雄组合,https://www.bilibili.com/bangumi/play/ss109/,全52话
8.9万追番,降世神通：最后的气宗 第一季,https://www.bilibili.com/bangumi/play/ss5391/,全20话
8.5万追番,小马宝莉 友谊的魔力 第八季,https://www.bilibili.com/bangumi/play/ss24266/,全26话
8万追番,拽妹黛薇儿 第一季,https://www.bilibili.com/bangumi/play/ss2953/,全13话
7.7万追番,小马宝莉 第二季,https://www.bilibili.com/bangumi/play/ss2669/,全26话
7.6万追番,小马宝莉 第五季,https://www.bilibili.com/bangumi/play/ss2672/,全26话
7.2万追番,小马宝莉 第四季,https://www.bilibili.com/bangumi/play/ss2671/,全26话
7.2万追番,小马宝莉 友谊的魔力 第七季,https://www.bilibili.com/bangumi/play/ss24265/,全26话
6.7万追番,小马宝莉 第三季,https://www.bilibili.com/bangumi/play/ss2670/,全13话
6.4万追番,米老鼠的黑白动画片生涯,https://www.bilibili.com/bangumi/play/ss2840/,全20话
5.9万追番,变形金刚 领袖之证 美版第一季,https://www.bilibili.com/bangumi/play/ss1723/,全52话
5.7万追番,小马宝莉：友谊的魔力 第六季 (中配）,https://www.bilibili.com/bangumi/play/ss25443/,全26话
5.6万追番,彩虹小马 小马国女孩3：友谊大赛,https://www.bilibili.com/bangumi/play/ss2900/,全1话
5.1万追番,小马宝莉 友谊的魔力 第八季（中配）,https://www.bilibili.com/bangumi/play/ss26223/,全26话
3.9万追番,彩虹小马：小马国女孩2 彩虹摇滚,https://www.bilibili.com/bangumi/play/ss25654/,全1话
3.7万追番,变形金刚：领袖之证 中文第一季,https://www.bilibili.com/bangumi/play/ss6179/,全27话
3.3万追番,小马宝莉 第五季 (中配）,https://www.bilibili.com/bangumi/play/ss27733/,全26话
3.1万追番,光晕：传奇,https://www.bilibili.com/bangumi/play/ss5574/,全8话
3.1万追番,彩虹小马 魔法公主特别篇,https://www.bilibili.com/bangumi/play/ss25653/,全3话
3万追番,超能勇士,https://www.bilibili.com/bangumi/play/ss26128/,全52话
2.5万追番,变形金刚：领袖之证 中文第三季,https://www.bilibili.com/bangumi/play/ss6181/,全16话
2.5万追番,彩虹小马 小马国女孩4 无尽之森传奇,https://www.bilibili.com/bangumi/play/ss25656/,全1话
2.5万追剧,星河战队：入侵,https://www.bilibili.com/bangumi/play/ss33954/,2012-07-21上映
2.5万追番,探险活宝 第六季（中配）,https://www.bilibili.com/bangumi/play/ss25503/,全42话
2.3万追番,变形金刚大电影,https://www.bilibili.com/bangumi/play/ss2873/,全2话
2.2万追番,X战警：进化,https://www.bilibili.com/bangumi/play/ss2160/,全13话
1.9万追番,太空堡垒 第一季,https://www.bilibili.com/bangumi/play/ss1805/,全36话
1.9万追番,拽妹黛薇儿 第二季,https://www.bilibili.com/bangumi/play/ss2954/,全13话
1.8万追番,变形金刚：领袖之证 中文第二季,https://www.bilibili.com/bangumi/play/ss6180/,全25话
1.8万追番,托尔与洛基：血亲,https://www.bilibili.com/bangumi/play/ss5448/,全4话
1.7万追番,兽械争霸,https://www.bilibili.com/bangumi/play/ss3276/,全26话
1.5万追番,探险活宝 第七季（中配）,https://www.bilibili.com/bangumi/play/ss25504/,全38话
1.4万追番,拽妹黛薇儿 第三季,https://www.bilibili.com/bangumi/play/ss2955/,全13话
1.3万追番,新战神金刚：传奇守护神,https://www.bilibili.com/bangumi/play/ss5384/,全11话
1.3万追番,新天线宝宝 第二季,https://www.bilibili.com/bangumi/play/ss26184/,更新至第60话
1.3万追番,狡猾飞天德,https://www.bilibili.com/bangumi/play/ss2348/,全54话
1.3万追番,变形金刚 领袖之证 美版第二季,https://www.bilibili.com/bangumi/play/ss1724/,全8话
1.3万追番,拽妹黛薇儿 第四季,https://www.bilibili.com/bangumi/play/ss2956/,全13话
1.1万追番,新天线宝宝,https://www.bilibili.com/bangumi/play/ss26183/,更新至第60话
1.1万追番,变形金刚2008,https://www.bilibili.com/bangumi/play/ss3219/,全42话
1万追番,拽妹黛薇儿 剧场版,https://www.bilibili.com/bangumi/play/ss3015/,全2话
1万追番,拽妹黛薇儿 第五季,https://www.bilibili.com/bangumi/play/ss6298/,全13话
9273追番,变形金刚：领袖的挑战 第一季,https://www.bilibili.com/bangumi/play/ss3646/,全26话
5839追番,布雷斯塔警长,https://www.bilibili.com/bangumi/play/ss2947/,全65话
4722追番,太空堡垒 第三季,https://www.bilibili.com/bangumi/play/ss1807/,全25话
4534追番,变形金刚 领袖之证 日版,https://www.bilibili.com/bangumi/play/ss1725/,全52话
4389追番,太空堡垒 第二季,https://www.bilibili.com/bangumi/play/ss1806/,全24话
4357追番,索尼克音爆,https://www.bilibili.com/bangumi/play/ss24112/,全52话
4102追番,新战神金刚：传奇的保护神 第四季,https://www.bilibili.com/bangumi/play/ss6516/,全6话
3457追番,希曼的新冒险,https://www.bilibili.com/bangumi/play/ss3012/,全65话
3426追番,新战神金刚：传奇的保护神 第二季,https://www.bilibili.com/bangumi/play/ss6517/,全13话
2820追番,新战神金刚：传奇的保护神 第五季,https://www.bilibili.com/bangumi/play/ss24050/,全6话
2780追番,新战神金刚：传奇的保护神 第六季,https://www.bilibili.com/bangumi/play/ss25013/,全7话
2702追番,新战神金刚：传奇的保护神 第三季,https://www.bilibili.com/bangumi/play/ss6515/,全7话
618追番,星际赛车,https://www.bilibili.com/bangumi/play/ss3720/,全1话
